ID PUMA,PUMA,ID Year,Year,ID Workforce Status,Workforce Status,ygcpop RCA,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug PUMA,PUMS Degree Field,ID PUMS Degree Field,Slug PUMS Degree Field
79500US1700202,"Henry, Mercer, Henderson, Warren, Hancock, McDonough & Fulton Counties PUMA, IL",2016,2016,TRUE,TRUE,0.662518517,654,625.002185,60630.29969,33968.93687,7,henry-mercer-henderson-warren-hancock-mcdonough-&-fulton-counties-puma-il,Visual & Performing Arts,50,visual-performing-arts
79500US4801903,"Plano City (Central) PUMA, TX",2016,2016,TRUE,TRUE,0.815462928,660,627.1977247,36283.24242,19073.36515,9,plano-city-(central)-puma-tx,Visual & Performing Arts,50,visual-performing-arts
79500US1700300,"Adams, Pike, Brown, Schuyler & Mason Counties PUMA, IL",2016,2016,TRUE,TRUE,1.199838356,733,659.209902,65769.51705,55577.59011,7,adams-pike-brown-schuyler-&-mason-counties-puma-il,Visual & Performing Arts,50,visual-performing-arts
79500US1700401,"Cass, Morgan, Scott, Greene, Macoupin, Jersey & Calhoun Counties PUMA, IL",2016,2016,TRUE,TRUE,0.448802937,357,462.4535679,66819.45658,28844.67068,5,cass-morgan-scott-greene-macoupin-jersey-&-calhoun-counties-puma-il,Visual & Performing Arts,50,visual-performing-arts
79500US0608701,"Watsonville & Scotts Valley Cities PUMA, CA",2016,2016,TRUE,TRUE,1.105090063,985,764.6744095,98977.87614,108910.0392,16,watsonville-&-scotts-valley-cities-puma-ca,Visual & Performing Arts,50,visual-performing-arts
79500US1700501,"Montgomery, Bond, Clinton, Fayette & Effingham Counties PUMA, IL",2016,2016,TRUE,TRUE,0.396005931,319,437.3080998,46673.11912,56897.85514,6,montgomery-bond-clinton-fayette-&-effingham-counties-puma-il,Visual & Performing Arts,50,visual-performing-arts
79500US0400116,"Phoenix City (Uptown) PUMA, AZ",2016,2016,TRUE,TRUE,1.147672515,822,698.3377884,37295.9562,26617.89057,10,phoenix-city-(uptown)-puma-az,Visual & Performing Arts,50,visual-performing-arts
79500US0600107,"Hayward City PUMA, CA",2016,2016,TRUE,TRUE,0.842716182,931,744.7752726,35710.0666,15645.60842,10,hayward-city-puma-ca,Visual & Performing Arts,50,visual-performing-arts
79500US3704200,"Greenville City PUMA, NC",2016,2016,TRUE,TRUE,0.982729972,1088,804.345411,65216.63971,46297.48875,8,greenville-city-puma-nc,Visual & Performing Arts,50,visual-performing-arts
79500US1700800,"South & Southeast Illinois PUMA, IL",2016,2016,TRUE,TRUE,1.048160801,719,653.574307,47177.2573,10507.00528,6,south-&-southeast-illinois-puma-il,Visual & Performing Arts,50,visual-performing-arts
79500US4801902,"Plano City (West) PUMA, TX",2016,2016,TRUE,TRUE,0.870221136,663,628.3827946,75111.65611,49268.47712,8,plano-city-(west)-puma-tx,Visual & Performing Arts,50,visual-performing-arts
79500US3703700,"Moore & Montgomery Counties PUMA, NC",2016,2016,TRUE,TRUE,0.846019303,532,562.9842851,40002.7594,16043.67823,7,moore-&-montgomery-counties-puma-nc,Visual & Performing Arts,50,visual-performing-arts
79500US1700900,"Jackson, Williamson, Franklin & Perry Counties PUMA, IL",2016,2016,TRUE,TRUE,1.121209992,1158,829.0180167,46162.67012,19608.1833,10,jackson-williamson-franklin-&-perry-counties-puma-il,Visual & Performing Arts,50,visual-performing-arts
79500US0608702,"Santa Cruz City PUMA, CA",2016,2016,TRUE,TRUE,2.518766814,2023,1085.022668,47823.92091,14951.09957,19,santa-cruz-city-puma-ca,Visual & Performing Arts,50,visual-performing-arts
79500US1701001,"Monroe, Randolph, Washington, Jefferson & Marion Counties PUMA, IL",2016,2016,TRUE,TRUE,0.46915653,442,514.498557,52513.11312,25521.91868,8,monroe-randolph-washington-jefferson-&-marion-counties-puma-il,Visual & Performing Arts,50,visual-performing-arts
79500US3703200,"Concord, Kannapolis Cities & Harrisburg Town PUMA, NC",2016,2016,TRUE,TRUE,0.613683339,604,600.8386383,64236.40397,36569.72039,7,concord-kannapolis-cities-&-harrisburg-town-puma-nc,Visual & Performing Arts,50,visual-performing-arts
79500US1701104,"St. Clair County (Central & Northeast) PUMA, IL",2016,2016,TRUE,TRUE,0.875444791,856,713.9842936,21305.30607,13567.17214,5,st.-clair-county-(central-&-northeast)-puma-il,Visual & Performing Arts,50,visual-performing-arts
79500US5110701,"Sterling & Ashburn (Northeast/Ashburn Village) PUMA, VA",2016,2016,TRUE,TRUE,1.140371916,1022,778.7125449,66638.83366,34663.27007,14,sterling-&-ashburn-(northeast-ashburn-village)-puma-va,Visual & Performing Arts,50,visual-performing-arts
79500US5501601,"Wood, Portage, Juneau & Adams Counties PUMA, WI",2016,2016,TRUE,TRUE,0.561006276,713,653.0437884,32433.87377,28855.53053,8,wood-portage-juneau-&-adams-counties-puma-wi,Visual & Performing Arts,50,visual-performing-arts
79500US1701204,"Madison County (East) PUMA, IL",2016,2016,TRUE,TRUE,1.078631807,861,715.0559279,52954.65738,28228.377,8,madison-county-(east)-puma-il,Visual & Performing Arts,50,visual-performing-arts
79500US0608900,"Redding City PUMA, CA",2016,2016,TRUE,TRUE,0.511777545,467,528.69314,37673.86724,41024.68153,9,redding-city-puma-ca,Visual & Performing Arts,50,visual-performing-arts
79500US3703108,"Matthews Town (South) PUMA, NC",2016,2016,TRUE,TRUE,1.085969675,969,758.5393962,40243.52116,14763.12082,13,matthews-town-(south)-puma-nc,Visual & Performing Arts,50,visual-performing-arts
79500US1701205,"Granite City, Alton, Wood River Cities & Godfrey Village PUMA, IL",2016,2016,TRUE,TRUE,0.581741285,502,547.882157,18610.06972,16405.71414,5,granite-city-alton-wood-river-cities-&-godfrey-village-puma-il,Visual & Performing Arts,50,visual-performing-arts
79500US0603744,"LA City (East Central/Central City & Boyle Heights) PUMA, CA",2016,2016,TRUE,TRUE,2.338131321,2287,1155.128892,87370.92086,52641.01673,27,la-city-(east-central-central-city-&-boyle-heights)-puma-ca,Visual & Performing Arts,50,visual-performing-arts
79500US3703107,"Mint Hill & Matthews (North) Towns PUMA, NC",2016,2016,TRUE,TRUE,0.819162638,714,652.3346824,33276.79272,15179.91086,7,mint-hill-&-matthews-(north)-towns-puma-nc,Visual & Performing Arts,50,visual-performing-arts
79500US1701300,"Springfield City PUMA, IL",2016,2016,TRUE,TRUE,0.952734117,1185,839.6104777,41445.45485,16850.73419,14,springfield-city-puma-il,Visual & Performing Arts,50,visual-performing-arts
79500US4801901,"Dallas (North), Plano (South) & Richardson (North) Cities PUMA, TX",2016,2016,TRUE,TRUE,0.96577737,899,731.2386829,45443.45273,22148.90931,11,dallas-(north)-plano-(south)-&-richardson-(north)-cities-puma-tx,Visual & Performing Arts,50,visual-performing-arts
79500US3703106,"Huntersville, Cornelius & Davidson Towns PUMA, NC",2016,2016,TRUE,TRUE,0.834940584,900,732.3102109,123440.72,106287.8024,9,huntersville-cornelius-&-davidson-towns-puma-nc,Visual & Performing Arts,50,visual-performing-arts
79500US5311101,"Vancouver City (West & Central) PUMA, WA",2016,2016,TRUE,TRUE,1.029237686,767,675.1268465,37249.22816,16506.41981,10,vancouver-city-(west-&-central)-puma-wa,Visual & Performing Arts,50,visual-performing-arts
79500US0609501,"Vallejo & Benicia Cities PUMA, CA",2016,2016,TRUE,TRUE,1.040764653,937,746.1440296,43194.23266,33118.39098,13,vallejo-&-benicia-cities-puma-ca,Visual & Performing Arts,50,visual-performing-arts
79500US3703105,"Charlotte City (Southwest) PUMA, NC",2016,2016,TRUE,TRUE,0.758313404,703,647.5632969,42427.62447,13399.2244,8,charlotte-city-(southwest)-puma-nc,Visual & Performing Arts,50,visual-performing-arts
79500US1701602,"Menard, Logan, De Witt, Piatt, Moultrie, Shelby & Christian Counties PUMA, IL",2016,2016,TRUE,TRUE,0.535231455,443,514.8452897,17834.08014,19639.1096,9,menard-logan-de-witt-piatt-moultrie-shelby-&-christian-counties-puma-il,Visual & Performing Arts,50,visual-performing-arts
79500US5104103,"Brandermill & Woodlake PUMA, VA",2016,2016,TRUE,TRUE,0.974510828,708,648.8877575,55879.86441,46025.13698,6,brandermill-&-woodlake-puma-va,Visual & Performing Arts,50,visual-performing-arts
79500US4801501,"Smith County (Outside Tyler City) PUMA, TX",2016,2016,TRUE,TRUE,0.607238774,352,458.7014052,25692.34943,29607.88676,5,smith-county-(outside-tyler-city)-puma-tx,Visual & Performing Arts,50,visual-performing-arts
79500US3703104,"Charlotte City (South) PUMA, NC",2016,2016,TRUE,TRUE,1.867352355,1937,1066.610522,59676.62158,33039.19266,23,charlotte-city-(south)-puma-nc,Visual & Performing Arts,50,visual-performing-arts
79500US1701701,"Peoria City PUMA, IL",2016,2016,TRUE,TRUE,1.028602521,1149,826.3225967,42852.56745,23954.4356,10,peoria-city-puma-il,Visual & Performing Arts,50,visual-performing-arts
79500US4801400,"Kaufman County PUMA, TX",2016,2016,TRUE,TRUE,0.293753927,202,348.2361346,52218,41781.97495,5,kaufman-county-puma-tx,Visual & Performing Arts,50,visual-performing-arts
79500US0609502,"Fairfield & Suisun City Cities PUMA, CA",2016,2016,TRUE,TRUE,0.499968599,470,530.4318316,81674.65532,80342.24206,5,fairfield-&-suisun-city-cities-puma-ca,Visual & Performing Arts,50,visual-performing-arts
79500US3703103,"Charlotte City (Northeast) PUMA, NC",2016,2016,TRUE,TRUE,0.697753844,591,593.9918385,31524.54822,11718.90626,6,charlotte-city-(northeast)-puma-nc,Visual & Performing Arts,50,visual-performing-arts
79500US1701900,"Tazewell County PUMA, IL",2016,2016,TRUE,TRUE,1.279058482,1070,796.0193311,101431.1477,48783.71421,7,tazewell-county-puma-il,Visual & Performing Arts,50,visual-performing-arts
79500US5311000,"Lewis, Klickitat & Skamania Counties PUMA, WA",2016,2016,TRUE,TRUE,0.800735729,430,506.3036817,42276.51628,20507.80112,6,lewis-klickitat-&-skamania-counties-puma-wa,Visual & Performing Arts,50,visual-performing-arts
79500US0609503,"Vacaville & Dixon Cities PUMA, CA",2016,2016,TRUE,TRUE,0.82596296,686,639.3857274,123116.6764,73831.20109,8,vacaville-&-dixon-cities-puma-ca,Visual & Performing Arts,50,visual-performing-arts
79500US0603746,"LA City (Central/Univ. of Southern California & Exposition Park) PUMA, CA",2016,2016,TRUE,TRUE,1.503406082,890,724.8457412,29463.00449,12965.91339,10,la-city-(central-univ.-of-southern-california-&-exposition-park)-puma-ca,Visual & Performing Arts,50,visual-performing-arts
79500US1702000,"McLean County PUMA, IL",2016,2016,TRUE,TRUE,1.12564401,1324,886.4214771,45835.20846,25664.63677,15,mclean-county-puma-il,Visual & Performing Arts,50,visual-performing-arts
79500US4800900,"Rockwall, Greenville & Dallas (Far Northeast) Cities PUMA, TX",2016,2016,TRUE,TRUE,0.334843649,386,481.2479584,66048.6943,42315.33665,5,rockwall-greenville-&-dallas-(far-northeast)-cities-puma-tx,Visual & Performing Arts,50,visual-performing-arts
79500US3703101,"Charlotte City (Central) PUMA, NC",2016,2016,TRUE,TRUE,1.65818556,1386,903.5683949,66058.80519,32895.87845,18,charlotte-city-(central)-puma-nc,Visual & Performing Arts,50,visual-performing-arts
79500US3703002,"Gastonia & Belmont Cities PUMA, NC",2016,2016,TRUE,TRUE,0.694262499,479,534.7674833,68042.05846,38095.03107,5,gastonia-&-belmont-cities-puma-nc,Visual & Performing Arts,50,visual-performing-arts
79500US1702100,"Champaign & Urbana Cities PUMA, IL",2016,2016,TRUE,TRUE,1.684754021,2392,1186.804059,68352.67559,17680.22202,17,champaign-&-urbana-cities-puma-il,Visual & Performing Arts,50,visual-performing-arts
79500US0600108,"Union City, Newark & Fremont (West) Cities PUMA, CA",2016,2016,TRUE,TRUE,0.422813771,406,493.2588751,55118.53695,46691.55163,5,union-city-newark-&-fremont-(west)-cities-puma-ca,Visual & Performing Arts,50,visual-performing-arts
79500US1702200,"Livingston, Ford, Iroquois & Vermilion Counties PUMA, IL",2016,2016,TRUE,TRUE,0.382543533,324,440.7628608,37411.37037,23398.75504,5,livingston-ford-iroquois-&-vermilion-counties-puma-il,Visual & Performing Arts,50,visual-performing-arts
79500US0609701,"Windsor Town, Healdsburg & Sonoma Cities PUMA, CA",2016,2016,TRUE,TRUE,1.367636295,1531,951.5917033,69234.91574,25957.69302,22,windsor-town-healdsburg-&-sonoma-cities-puma-ca,Visual & Performing Arts,50,visual-performing-arts
